Article S/N,Country Code,Country,Region,Date,Journal,Title,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Family,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,EC,Internal Colaboration,IC,IEC,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Number of Funders,Funded/Not funded,Fund,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
18,14,Egypt,North Africa,2015,J Insect Sci ,Differences in antennal sensillae of male and female peach fruit flies in relation to hosts.,1,Primary,1,1,,0,Tephritidae,,1,2,0,"Assiut University Assiut, Egypt",,"Agricultural Research Center, Giza, Egypt ",,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
19,14,Egypt,North Africa,2014,J Insect Sci ,"Ultrastructure of the antennal sensillae of male and female peach fruit fly, Bactrocera zonata.",1,Primary,1,1,,0,Tephritidae,,0,3,0,"Damanhour University Damanhour, Egypt","DU Damanhour, Egypt","Alexandria University, Egypt","UA Alexandria, Egypt","Agriculture Research Center, Giza, Egypt ",ARC Egypt,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
20,14,Egypt,North Africa,2015,Nat Prod Res ,Toxicity of naturally occurring Bio-fly and chitosan compounds to control the Mediterranean fruit fly Ceratitis capitata (Wiedemann).,1,Primary,1,1,,0,Tephritidae,,1,1,0,"Damanhour University Damanhour, Egypt",,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
21,14,Egypt,North Africa,2013,Pak J Biol Sci ,"Assessment effect of gamma radiation on the flight ability of the peach fruit fly, Bactrocera zonata (Saunders).",1,Primary,1,1,,0,Tephritidae,,0,1,0,"Tanta University Tanta, Egypt","TU Tanta, Egypt",,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
22,14,Egypt,North Africa,2013,J Egypt Soc Parasitol ,Genetic variation among Drosophila melanogaster isofemale lines influences encapsulation ability of the parasitoid Asobara tabida.,1,Primary,1,0,Germany,0,Tephritidae,,1,1,0,"Tanta University Tanta, Egypt","TU Tanta, Egypt",,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
23,14,Egypt,North Africa,2012,J Egypt Soc Parasitol ,"Effect of 60 minutes exposure to electromagnetic field on fecundity, learning and memory, speed of movement and whole body protein of the fruit fly Drosophila melanogaster.",1,Primary,1,3,,0,Tephritidae,,0,2,0,"Cairo University Giza, Egypt","CU Giza, Egypt","Fayoum University, Fayoum, Egypt","FU Fayoum, Egypt",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
24,14,Egypt,North Africa,2011,J Insect Sci ,"Molecular phylogeny and identification of the peach fruit fly, Bactrocera zonata, established in Egypt.",1,Primary,1,1,,0,Tephritidae,,0,1,0,"Tanta University Tanta, Egypt","TU Tanta, Egypt",,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
25,14,Egypt,North Africa,2003,J Egypt Soc Parasitol ,Mutation in rugose gene locus affects the pigment cell number and alters the optic lobe phenotype in the Drosophila visual system.,0,Primary,1,3,,0,Drosophilidae,,0,4,0,"Ain Shams University Cairo, Egypt ","ASU Cairo, Egypt","Cairo University, Giza, Egypt","CU Giza, Egypt","Ministry of Agriculture, Giza, Egypt  and National Research Centre, Giza, Egypt",MANRC Egypt,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
26,22,Kenya,East Africa,2015,Zookeys,"Comparative analysis of development and survival of two Natal fruit fly Ceratitis rosa Karsch (Diptera, Tephritidae) populations from Kenya and South Africa",1,Primary,1,0,South Africa,0,Tephritidae,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,,South Africa,2,2,,,,2,1,2,,,,,,,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,"Citrus Research International, South Africa",CRI ,South africa,,,,
27,22,Kenya,East Africa,2013,Insects,Horizontal Transmission of Metarhizium anisopliae in Fruit Flies and Effect of Fungal Infection on Egg Laying and Fertility,1,Primary,1,1,,0,Tephritidae,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,,Zimbabwe,2,2,,,,3,1,2,,,,,,,IFAD funded African Fruit Fly Initiative project (AFFI),IFAD,Italy,"DAAD, Germany",DAAD,Germany,,,,
